config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size
D невозможный АМГ,D,0.1,HistGB,1,20260802,0.3799,0.0,1.0,0.7633,0.7441,0.6796,0.6729,0.0,0.897,1.682
D противоречие ИМТ,D,0.1,HistGB,1,20260802,0.3947,0.0,1.0,0.7455,0.7422,0.7319,0.6805,0.0,0.9003,1.654
D пропуск АМГ,D,0.2,HistGB,1,20260802,0.3809,0.0,1.0,0.7696,0.7283,0.7207,0.6681,0.0,0.9071,1.677
D ошибка единиц,D,0.1,HistGB,1,20260802,0.3898,0.0,1.0,0.756,0.7574,0.6798,0.6757,0.0,0.9071,1.679
M0 эталон,—,0.0,HistGB,0,20260803,0.3994,1.0,1.0,0.7532,0.7488,0.7426,0.6799,0.7305,0.902,1.657
T утечка ρ=0.1,T,0.1,HistGB,1,20260803,0.3458,1.0,0.0,0.601,0.7181,0.7263,0.6796,0.0,0.9037,1.669
T утечка ρ=0.3,T,0.3,HistGB,1,20260803,0.3936,1.0,0.0,0.579,0.7659,0.658,0.6934,0.0,0.9071,1.63
T утечка ρ=0.5,T,0.5,HistGB,1,20260803,0.44,1.0,0.0,0.5315,0.8185,0.7054,0.7494,0.0,0.8885,1.51
T утечка ρ=0.7,T,0.7,HistGB,1,20260803,0.5789,1.0,0.0,0.3825,0.8553,0.6315,0.8477,0.0,0.9139,1.306
T утечка ρ=0.9,T,0.9,HistGB,1,20260803,0.9319,1.0,0.0,0.1185,0.9639,0.5611,0.9713,0.0,0.9713,1.057
F подмена η=0.1,F,0.1,HistGB,1,20260803,0.3994,1.0,1.0,0.6827,0.758,0.7426,0.6799,0.715,0.902,1.657
F подмена η=0.25,F,0.25,HistGB,1,20260803,0.3994,1.0,1.0,0.5582,0.7438,0.7426,0.6799,0.6766,0.902,1.657
F подмена η=0.5,F,0.5,HistGB,1,20260803,0.3994,1.0,1.0,0.3755,0.7314,0.7426,0.6799,0.6102,0.902,1.657
F подмена η=0.75,F,0.75,HistGB,1,20260803,0.3994,1.0,1.0,0.189,0.7447,0.7426,0.6799,0.5163,0.902,1.657
F подмена η=1.0,F,1.0,HistGB,1,20260803,0.3994,1.0,1.0,0.0152,0.7311,0.7426,0.6799,0.2739,0.902,1.657
S доля=0.05,S,0.05,HistGB,1,20260803,0.3291,1.0,1.0,0.7009,0.4932,0.7268,0.6937,0.6461,0.8311,1.645
S доля=0.1,S,0.1,HistGB,1,20260803,0.3215,1.0,1.0,0.7598,0.5585,0.622,0.7114,0.6583,0.8733,1.59
S доля=0.15,S,0.15,HistGB,1,20260803,0.3342,1.0,1.0,0.6598,0.5962,0.6212,0.7244,0.6486,0.8564,1.576
S доля=0.25,S,0.25,HistGB,1,20260803,0.351,1.0,1.0,0.8739,0.5693,0.6512,0.7052,0.6914,0.8666,1.633
S доля=0.4,S,0.4,HistGB,1,20260803,0.4153,1.0,1.0,0.8562,0.5579,0.6694,0.7081,0.6898,0.8733,1.606
C инверсия η=0.05,C,0.05,HistGB,1,20260803,0.3811,1.0,1.0,0.7115,0.7637,0.6058,0.7173,0.6971,0.8361,1.571
C инверсия η=0.1,C,0.1,HistGB,1,20260803,0.3631,1.0,1.0,0.6616,0.7986,0.4367,0.7734,0.6499,0.7703,1.454
C инверсия η=0.2,C,0.2,HistGB,1,20260803,0.3174,1.0,1.0,0.5387,0.8416,0.2247,0.8401,0.5409,0.6351,1.321
C инверсия η=0.3,C,0.3,HistGB,1,20260803,0.2817,1.0,1.0,0.3399,0.8784,0.0932,0.9206,0.4,0.5,1.159
R шум σ×0.25,R,0.25,HistGB,1,20260803,0.3498,1.0,1.0,0.7191,0.7026,0.7093,0.6506,0.6949,0.9172,1.715
R шум σ×0.5,R,0.5,HistGB,1,20260803,0.3375,1.0,1.0,0.7364,0.7222,0.7231,0.6441,0.7055,0.9172,1.72
R шум σ×1.0,R,1.0,HistGB,1,20260803,0.3234,1.0,1.0,0.7605,0.6655,0.6735,0.6605,0.6888,0.9037,1.686
R шум σ×1.5,R,1.5,HistGB,1,20260803,0.3218,1.0,1.0,0.7218,0.676,0.6817,0.661,0.6848,0.9139,1.686
R шум σ×2.0,R,2.0,HistGB,1,20260803,0.302,1.0,1.0,0.7509,0.6674,0.6778,0.6543,0.6866,0.9139,1.703
D невозможный АМГ,D,0.1,HistGB,1,20260803,0.3971,0.0,1.0,0.735,0.7545,0.6672,0.6754,0.0,0.9037,1.674
D противоречие ИМТ,D,0.1,HistGB,1,20260803,0.4051,0.0,1.0,0.7294,0.7362,0.7354,0.6852,0.0,0.9054,1.642
D пропуск АМГ,D,0.2,HistGB,1,20260803,0.4045,0.0,1.0,0.7717,0.7219,0.7215,0.6574,0.0,0.9139,1.704
D ошибка единиц,D,0.1,HistGB,1,20260803,0.3865,0.0,1.0,0.7582,0.7384,0.6797,0.6715,0.0,0.8986,1.684
M0 эталон,—,0.0,HistGB,0,20260804,0.3994,1.0,1.0,0.7351,0.733,0.7426,0.6799,0.7222,0.902,1.657
T утечка ρ=0.1,T,0.1,HistGB,1,20260804,0.4193,1.0,0.0,0.6448,0.7365,0.7189,0.6686,0.0,0.9206,1.684
T утечка ρ=0.3,T,0.3,HistGB,1,20260804,0.46,1.0,0.0,0.5622,0.7808,0.6986,0.7145,0.0,0.9037,1.584
T утечка ρ=0.5,T,0.5,HistGB,1,20260804,0.4773,1.0,0.0,0.4863,0.8074,0.6685,0.7627,0.0,0.9105,1.488
T утечка ρ=0.7,T,0.7,HistGB,1,20260804,0.6119,1.0,0.0,0.3439,0.8692,0.6272,0.8502,0.0,0.9155,1.301
T утечка ρ=0.9,T,0.9,HistGB,1,20260804,0.8548,1.0,0.0,0.1454,0.9503,0.555,0.9578,0.0,0.9645,1.084
F подмена η=0.1,F,0.1,HistGB,1,20260804,0.3994,1.0,1.0,0.6781,0.739,0.7426,0.6799,0.7092,0.902,1.657
F подмена η=0.25,F,0.25,HistGB,1,20260804,0.3994,1.0,1.0,0.5561,0.7371,0.7426,0.6799,0.6745,0.902,1.657
F подмена η=0.5,F,0.5,HistGB,1,20260804,0.3994,1.0,1.0,0.3771,0.7397,0.7426,0.6799,0.6126,0.902,1.657
F подмена η=0.75,F,0.75,HistGB,1,20260804,0.3994,1.0,1.0,0.1858,0.7349,0.7426,0.6799,0.5124,0.902,1.657
F подмена η=1.0,F,1.0,HistGB,1,20260804,0.3994,1.0,1.0,0.0154,0.733,0.7426,0.6799,0.2747,0.902,1.657
S доля=0.05,S,0.05,HistGB,1,20260804,0.3487,1.0,1.0,0.8564,0.4742,0.6403,0.6388,0.6384,0.8497,1.779
S доля=0.1,S,0.1,HistGB,1,20260804,0.3288,1.0,1.0,1.0,0.537,0.5367,0.701,0.6704,0.853,1.628
S доля=0.15,S,0.15,HistGB,1,20260804,0.3713,1.0,1.0,1.0,0.5208,0.629,0.7114,0.6948,0.8547,1.6
S доля=0.25,S,0.25,HistGB,1,20260804,0.3403,1.0,1.0,0.9544,0.5784,0.6561,0.6968,0.7088,0.8716,1.644
S доля=0.4,S,0.4,HistGB,1,20260804,0.3218,1.0,1.0,0.9953,0.5971,0.6365,0.7066,0.719,0.8632,1.615
C инверсия η=0.05,C,0.05,HistGB,1,20260804,0.3811,1.0,1.0,0.7291,0.7479,0.6058,0.7173,0.6977,0.8361,1.571
C инверсия η=0.1,C,0.1,HistGB,1,20260804,0.3631,1.0,1.0,0.6421,0.8043,0.4367,0.7734,0.6462,0.7703,1.454
C инверсия η=0.2,C,0.2,HistGB,1,20260804,0.3174,1.0,1.0,0.5262,0.8369,0.2247,0.8401,0.537,0.6351,1.321
C инверсия η=0.3,C,0.3,HistGB,1,20260804,0.2817,1.0,1.0,0.3521,0.8828,0.0932,0.9206,0.4041,0.5,1.159
R шум σ×0.25,R,0.25,HistGB,1,20260804,0.3425,1.0,1.0,0.7282,0.7143,0.693,0.6422,0.6936,0.9206,1.731
R шум σ×0.5,R,0.5,HistGB,1,20260804,0.3823,1.0,1.0,0.6983,0.7134,0.7133,0.6591,0.6956,0.9155,1.691
R шум σ×1.0,R,1.0,HistGB,1,20260804,0.3168,1.0,1.0,0.7254,0.7077,0.7156,0.6577,0.7011,0.9122,1.696
R шум σ×1.5,R,1.5,HistGB,1,20260804,0.3526,1.0,1.0,0.7858,0.6545,0.6831,0.6543,0.6924,0.9071,1.703
R шум σ×2.0,R,2.0,HistGB,1,20260804,0.3033,1.0,1.0,0.752,0.6887,0.6689,0.6526,0.6895,0.9054,1.703
D невозможный АМГ,D,0.1,HistGB,1,20260804,0.397,0.0,1.0,0.7531,0.7279,0.6697,0.6664,0.0,0.9054,1.698
D противоречие ИМТ,D,0.1,HistGB,1,20260804,0.3818,0.0,1.0,0.7453,0.7352,0.7393,0.6782,0.0,0.9037,1.66
D пропуск АМГ,D,0.2,HistGB,1,20260804,0.4,0.0,1.0,0.7642,0.7203,0.7369,0.6647,0.0,0.9054,1.681
D ошибка единиц,D,0.1,HistGB,1,20260804,0.3875,0.0,1.0,0.7401,0.7197,0.681,0.6689,0.0,0.9037,1.693
M0 эталон,—,0.0,XGBoost,0,20260802,0.3967,1.0,1.0,0.6725,0.7422,0.7402,0.6639,0.7037,0.9105,1.699
T утечка ρ=0.1,T,0.1,XGBoost,1,20260802,0.3935,1.0,0.0,0.5698,0.7292,0.7234,0.6734,0.0,0.9189,1.679
T утечка ρ=0.3,T,0.3,XGBoost,1,20260802,0.4575,1.0,0.0,0.5157,0.7488,0.6656,0.6945,0.0,0.9307,1.633
T утечка ρ=0.5,T,0.5,XGBoost,1,20260802,0.438,1.0,0.0,0.4511,0.7992,0.6278,0.7354,0.0,0.9172,1.547
T утечка ρ=0.7,T,0.7,XGBoost,1,20260802,0.6004,1.0,0.0,0.3726,0.8565,0.6201,0.8263,0.0,0.9257,1.353
T утечка ρ=0.9,T,0.9,XGBoost,1,20260802,0.8648,1.0,0.0,0.1429,0.942,0.5556,0.9468,0.0,0.9628,1.106
F подмена η=0.1,F,0.1,XGBoost,1,20260802,0.3967,1.0,1.0,0.6061,0.7286,0.7402,0.6639,0.6825,0.9105,1.699
F подмена η=0.25,F,0.25,XGBoost,1,20260802,0.3967,1.0,1.0,0.5013,0.7308,0.7402,0.6639,0.6514,0.9105,1.699
F подмена η=0.5,F,0.5,XGBoost,1,20260802,0.3967,1.0,1.0,0.3333,0.7295,0.7402,0.6639,0.5879,0.9105,1.699
F подмена η=0.75,F,0.75,XGBoost,1,20260802,0.3967,1.0,1.0,0.1669,0.7077,0.7402,0.6639,0.4909,0.9105,1.699
F подмена η=1.0,F,1.0,XGBoost,1,20260802,0.3967,1.0,1.0,0.0131,0.7273,0.7402,0.6639,0.2616,0.9105,1.699
S доля=0.05,S,0.05,XGBoost,1,20260802,0.3135,1.0,1.0,0.6297,0.5541,0.5695,0.6717,0.6044,0.8378,1.682
S доля=0.1,S,0.1,XGBoost,1,20260802,0.3538,1.0,1.0,0.9059,0.448,0.6866,0.665,0.6561,0.826,1.713
S доля=0.15,S,0.15,XGBoost,1,20260802,0.3793,1.0,1.0,0.7093,0.5686,0.6205,0.6841,0.6433,0.8514,1.676
S доля=0.25,S,0.25,XGBoost,1,20260802,0.3349,1.0,1.0,0.9514,0.5062,0.596,0.6779,0.6642,0.8209,1.666
S доля=0.4,S,0.4,XGBoost,1,20260802,0.3726,1.0,1.0,0.9777,0.6076,0.6784,0.7207,0.7341,0.8412,1.608
C инверсия η=0.05,C,0.05,XGBoost,1,20260802,0.3828,1.0,1.0,0.6089,0.7549,0.6039,0.7083,0.6659,0.8497,1.615
C инверсия η=0.1,C,0.1,XGBoost,1,20260802,0.3567,1.0,1.0,0.5483,0.7963,0.4453,0.7286,0.6135,0.8007,1.557
C инверсия η=0.2,C,0.2,XGBoost,1,20260802,0.3192,1.0,1.0,0.4552,0.8378,0.2369,0.8148,0.5209,0.6655,1.372
C инверсия η=0.3,C,0.3,XGBoost,1,20260802,0.2886,1.0,1.0,0.3311,0.8768,0.099,0.8922,0.4001,0.5338,1.218
R шум σ×0.25,R,0.25,XGBoost,1,20260802,0.339,1.0,1.0,0.726,0.6627,0.6815,0.6664,0.6837,0.9155,1.688
