config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
T утечка ρ=0.5,T,0.5,RandomForest,1,20260803,0.4586,0.9054,1.48,1.0,0.0,0.3428,0.8667,0.675,0.7658,0.0
T утечка ρ=0.7,T,0.7,RandomForest,1,20260803,0.6238,0.9172,1.294,1.0,0.0,0.2957,0.9088,0.6251,0.8536,0.0
T утечка ρ=0.9,T,0.9,RandomForest,1,20260803,0.8173,0.9054,1.0,1.0,0.0,0.1892,0.9775,0.5684,1.0,0.0
F подмена η=0.1,F,0.1,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,0.5775,0.7669,0.7088,0.7061,0.6861
F подмена η=0.25,F,0.25,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,0.4812,0.7669,0.7088,0.7061,0.6556
F подмена η=0.5,F,0.5,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,0.3208,0.7669,0.7088,0.7061,0.5924
F подмена η=0.75,F,0.75,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,0.1604,0.7669,0.7088,0.7061,0.4981
F подмена η=1.0,F,1.0,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,0.0128,0.7669,0.7088,0.7061,0.2649
S доля=0.25,S,0.25,RandomForest,1,20260803,0.3356,0.8902,1.713,1.0,1.0,0.4839,0.81,0.654,0.656,0.6403
S доля=0.4,S,0.4,RandomForest,1,20260803,0.3869,0.9003,1.666,1.0,1.0,0.5188,0.7887,0.6933,0.6774,0.6621
S доля=0.6,S,0.6,RandomForest,1,20260803,0.399,0.9037,1.65,1.0,1.0,0.569,0.7846,0.7199,0.685,0.685
S доля=0.8,S,0.8,RandomForest,1,20260803,0.3347,0.8885,1.635,1.0,1.0,0.5979,0.7872,0.7132,0.6875,0.6931
C инверсия η=0.05,C,0.05,RandomForest,1,20260803,0.3905,0.9054,1.775,1.0,1.0,0.6514,0.7922,0.5837,0.632,0.6606
C инверсия η=0.1,C,0.1,RandomForest,1,20260803,0.3811,0.8919,2.078,1.0,1.0,0.5984,0.8188,0.4411,0.5445,0.5857
C инверсия η=0.2,C,0.2,RandomForest,1,20260803,0.334,0.9155,2.556,1.0,1.0,0.4925,0.8708,0.2275,0.4293,0.4524
C инверсия η=0.3,C,0.3,RandomForest,1,20260803,0.2865,1.0,3.0,1.0,1.0,0.3335,0.9161,0.0967,0.3333,0.315
R сглаж. λ=0.1,R,0.1,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,0.5431,0.7669,0.7088,0.7061,0.6757
R сглаж. λ=0.25,R,0.25,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,0.6487,0.7669,0.7088,0.7061,0.7064
R сглаж. λ=0.5,R,0.5,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,1.0,0.7669,0.7088,0.7061,0.7871
R сглаж. λ=0.75,R,0.75,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,1.0,0.7669,0.7088,0.7061,0.7871
R сглаж. λ=0.9,R,0.9,RandomForest,1,20260803,0.3937,0.8801,1.608,1.0,1.0,1.0,0.7669,0.7088,0.7061,0.7871
D невозможный АМГ,D,0.1,RandomForest,1,20260803,0.3964,0.8868,1.723,0.0,1.0,0.614,0.7438,0.6724,0.6712,0.0
D противоречие ИМТ,D,0.1,RandomForest,1,20260803,0.3935,0.8868,1.625,0.0,1.0,0.6237,0.7678,0.7008,0.6982,0.0
