config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size,V_cal,macro_f1_cal,conf_coverage_cal
S доля=0.05,S,0.05,XGBoost,1,20260802,0.3738,1.0,1.0,0.4068,0.435,0.7213,0.7025,0.5472,0.7852,1.618,0.551,0.3951,0.7901
S доля=0.1,S,0.1,XGBoost,1,20260802,0.3828,1.0,1.0,0.49,0.4989,0.7317,0.727,0.6005,0.7862,1.549,0.5982,0.3868,0.7788
S доля=0.15,S,0.15,XGBoost,1,20260802,0.4227,1.0,1.0,0.7156,0.4393,0.7969,0.6741,0.641,0.7796,1.682,0.6275,0.444,0.7835
S доля=0.25,S,0.25,XGBoost,1,20260802,0.4336,1.0,1.0,0.7953,0.4744,0.7436,0.671,0.6587,0.8217,1.685,0.656,0.4593,0.8088
S доля=0.4,S,0.4,XGBoost,1,20260802,0.4053,1.0,1.0,0.7858,0.5014,0.7926,0.699,0.6835,0.8095,1.62,0.6946,0.4073,0.7994
C инверсия η=0.05,C,0.05,XGBoost,1,20260802,0.4124,1.0,1.0,0.6421,0.7596,0.6587,0.6422,0.674,0.8226,1.748,0.6805,0.4392,0.8454
C инверсия η=0.1,C,0.1,XGBoost,1,20260802,0.3303,1.0,1.0,0.6329,0.7575,0.4066,0.6726,0.6017,0.7171,1.68,0.6239,0.3706,0.7451
C инверсия η=0.2,C,0.2,XGBoost,1,20260802,0.2671,1.0,1.0,0.5444,0.7978,0.2144,0.7415,0.5126,0.5621,1.544,0.5175,0.2858,0.5745
C инверсия η=0.3,C,0.3,XGBoost,1,20260802,0.2141,1.0,1.0,0.4086,0.8487,0.0922,0.8207,0.4025,0.4118,1.373,0.3935,0.2297,0.3946
R шум σ×0.25,R,0.25,XGBoost,1,20260802,0.4546,1.0,1.0,0.6782,0.7229,0.8292,0.6374,0.7135,0.8711,1.741,0.7222,0.4334,0.8519
R шум σ×0.5,R,0.5,XGBoost,1,20260802,0.4326,1.0,1.0,0.6695,0.708,0.8262,0.6396,0.7074,0.8693,1.747,0.7303,0.3881,0.8351
R шум σ×1.0,R,1.0,XGBoost,1,20260802,0.4138,1.0,1.0,0.7042,0.7197,0.8376,0.6478,0.7242,0.8245,1.742,0.7215,0.4231,0.8032
R шум σ×1.5,R,1.5,XGBoost,1,20260802,0.4051,1.0,1.0,0.714,0.7332,0.8322,0.6541,0.7306,0.8011,1.735,0.7181,0.3603,0.7882
R шум σ×2.0,R,2.0,XGBoost,1,20260802,0.4333,1.0,1.0,0.7377,0.6775,0.827,0.648,0.7194,0.7937,1.756,0.7083,0.3596,0.7826
D невозможный АМГ,D,0.1,XGBoost,1,20260802,0.4773,0.0,1.0,0.674,0.7397,0.89,0.6371,0.0,0.845,1.756,0.0,0.458,0.8566
D противоречие ИМТ,D,0.1,XGBoost,1,20260802,0.5123,0.0,1.0,0.7016,0.7435,0.8541,0.6349,0.0,0.8917,1.762,0.0,0.4936,0.8922
D пропуск АМГ,D,0.2,XGBoost,1,20260802,0.5178,0.0,1.0,0.7447,0.7227,0.8178,0.6134,0.0,0.8954,1.805,0.0,0.4823,0.9007
D ошибка единиц,D,0.1,XGBoost,1,20260802,0.4914,0.0,1.0,0.6878,0.7292,0.886,0.6357,0.0,0.8515,1.761,0.0,0.4697,0.8575
M0 эталон,—,0.0,XGBoost,0,20260803,0.5224,1.0,1.0,0.6931,0.737,0.8532,0.6284,0.7234,0.8926,1.775,0.7276,0.4917,0.9016
T утечка ρ=0.1,T,0.1,XGBoost,1,20260803,0.5073,1.0,0.0,0.6505,0.7489,0.8493,0.6376,0.0,0.8889,1.754,0.0,0.4997,0.8875
T утечка ρ=0.3,T,0.3,XGBoost,1,20260803,0.5351,1.0,0.0,0.5222,0.7883,0.867,0.65,0.0,0.9104,1.722,0.0,0.5133,0.9007
T утечка ρ=0.5,T,0.5,XGBoost,1,20260803,0.5907,1.0,0.0,0.5513,0.7701,0.8217,0.6752,0.0,0.9076,1.664,0.0,0.595,0.9157
T утечка ρ=0.7,T,0.7,XGBoost,1,20260803,0.6645,1.0,0.0,0.3925,0.8435,0.8256,0.7474,0.0,0.9113,1.507,0.0,0.6713,0.9222
T утечка ρ=0.9,T,0.9,XGBoost,1,20260803,0.8963,1.0,0.0,0.1606,0.9361,0.7825,0.92,0.0,0.972,1.161,0.0,0.8635,0.956
F подмена η=0.1,F,0.1,XGBoost,1,20260803,0.5224,1.0,1.0,0.636,0.7451,0.8532,0.6284,0.71,0.8926,1.775,0.7072,0.4917,0.9016
F подмена η=0.25,F,0.25,XGBoost,1,20260803,0.5224,1.0,1.0,0.5371,0.7351,0.8532,0.6284,0.6783,0.8926,1.775,0.6716,0.4917,0.9016
F подмена η=0.5,F,0.5,XGBoost,1,20260803,0.5224,1.0,1.0,0.3542,0.7395,0.8532,0.6284,0.6121,0.8926,1.775,0.6132,0.4917,0.9016
F подмена η=0.75,F,0.75,XGBoost,1,20260803,0.5224,1.0,1.0,0.1764,0.7372,0.8532,0.6284,0.5139,0.8926,1.775,0.5159,0.4917,0.9016
F подмена η=1.0,F,1.0,XGBoost,1,20260803,0.5224,1.0,1.0,0.0137,0.7451,0.8532,0.6284,0.2721,0.8926,1.775,0.2736,0.4917,0.9016
S доля=0.05,S,0.05,XGBoost,1,20260803,0.3636,1.0,1.0,0.747,0.3958,0.6916,0.678,0.6102,0.7815,1.673,0.6165,0.375,0.7863
S доля=0.1,S,0.1,XGBoost,1,20260803,0.4528,1.0,1.0,0.5861,0.4202,0.7541,0.7158,0.6038,0.775,1.598,0.6216,0.4286,0.7704
S доля=0.15,S,0.15,XGBoost,1,20260803,0.4073,1.0,1.0,0.669,0.4028,0.7735,0.6881,0.6154,0.788,1.642,0.6042,0.4326,0.7985
S доля=0.25,S,0.25,XGBoost,1,20260803,0.4613,1.0,1.0,0.8212,0.4366,0.7497,0.6544,0.6476,0.8039,1.733,0.6517,0.419,0.7994
S доля=0.4,S,0.4,XGBoost,1,20260803,0.4631,1.0,1.0,0.789,0.4722,0.7757,0.6589,0.6606,0.8142,1.725,0.6656,0.4226,0.8051
C инверсия η=0.05,C,0.05,XGBoost,1,20260803,0.4124,1.0,1.0,0.6582,0.7563,0.6587,0.6422,0.6774,0.8226,1.748,0.6806,0.4392,0.8454
C инверсия η=0.1,C,0.1,XGBoost,1,20260803,0.3303,1.0,1.0,0.6204,0.7659,0.4066,0.6726,0.6004,0.7171,1.68,0.6267,0.3706,0.7451
