config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size,V_cal,macro_f1_cal,conf_coverage_cal
S доля=0.25,S,0.25,LogReg,1,20260803,0.4296,1.0,1.0,0.8276,0.4421,0.748,0.6586,0.6516,0.8077,1.713,0.6645,0.405,0.806
S доля=0.4,S,0.4,LogReg,1,20260803,0.4026,1.0,1.0,0.8468,0.4592,0.7283,0.6659,0.659,0.8282,1.712,0.6679,0.4089,0.821
C инверсия η=0.05,C,0.05,LogReg,1,20260803,0.4134,1.0,1.0,0.7167,0.8694,0.7447,0.509,0.6971,0.9076,1.994,0.699,0.3968,0.8941
C инверсия η=0.1,C,0.1,LogReg,1,20260803,0.3566,1.0,1.0,0.4911,0.7265,0.4889,0.4385,0.5259,0.9057,2.387,0.5345,0.343,0.8988
C инверсия η=0.2,C,0.2,LogReg,1,20260803,0.2145,1.0,1.0,0.4074,0.823,0.064,0.5324,0.3269,0.7292,2.123,0.3432,0.2138,0.7404
C инверсия η=0.3,C,0.3,LogReg,1,20260803,0.1762,1.0,1.0,0.2,0.9111,0.0424,0.6816,0.2693,0.5313,1.736,0.2901,0.1763,0.5323
R шум σ×0.25,R,0.25,LogReg,1,20260803,0.4823,1.0,1.0,0.4216,0.8216,0.9045,0.6086,0.6608,0.902,1.783,0.6608,0.4543,0.8894
R шум σ×0.5,R,0.5,LogReg,1,20260803,0.4758,1.0,1.0,0.4417,0.6157,0.9029,0.645,0.6309,0.8646,1.711,0.6438,0.4174,0.8116
R шум σ×1.0,R,1.0,LogReg,1,20260803,0.4426,1.0,1.0,0.4664,0.6381,0.8926,0.6948,0.6554,0.7927,1.619,0.669,0.3872,0.671
R шум σ×1.5,R,1.5,LogReg,1,20260803,0.4319,1.0,1.0,0.4851,0.6399,0.8973,0.7468,0.6753,0.7143,1.516,0.6678,0.3555,0.5726
R шум σ×2.0,R,2.0,LogReg,1,20260803,0.3796,1.0,1.0,0.5031,0.6014,0.9019,0.7622,0.6753,0.6405,1.489,0.7275,0.3266,0.4864
D невозможный АМГ,D,0.1,LogReg,1,20260803,0.4616,0.0,1.0,0.3769,0.9161,0.9381,0.634,0.0,0.831,1.732,0.0,0.4559,0.8154
D противоречие ИМТ,D,0.1,LogReg,1,20260803,0.4733,0.0,1.0,0.4751,0.8374,0.8923,0.6172,0.0,0.8777,1.766,0.0,0.4722,0.8772
D пропуск АМГ,D,0.2,LogReg,1,20260803,0.4783,0.0,1.0,0.4427,0.8792,0.8834,0.5738,0.0,0.915,1.852,0.0,0.4706,0.9044
D ошибка единиц,D,0.1,LogReg,1,20260803,0.4651,0.0,1.0,0.3723,0.9,0.9371,0.6298,0.0,0.831,1.74,0.0,0.4529,0.8154
M0 эталон,—,0.0,LogReg,0,20260804,0.4894,1.0,1.0,0.4201,0.9076,0.913,0.5882,0.6727,0.916,1.824,0.681,0.4837,0.9016
T утечка ρ=0.1,T,0.1,LogReg,1,20260804,0.5049,1.0,0.0,0.3421,0.9104,0.8961,0.6022,0.0,0.9132,1.796,0.0,0.4927,0.9025
T утечка ρ=0.3,T,0.3,LogReg,1,20260804,0.5205,1.0,0.0,0.3477,0.9308,0.8742,0.6405,0.0,0.916,1.719,0.0,0.5091,0.9025
T утечка ρ=0.5,T,0.5,LogReg,1,20260804,0.5905,1.0,0.0,0.4882,0.8999,0.8409,0.6559,0.0,0.9253,1.688,0.0,0.5561,0.9185
T утечка ρ=0.7,T,0.7,LogReg,1,20260804,0.6917,1.0,0.0,0.23,0.9363,0.8233,0.754,0.0,0.93,1.492,0.0,0.6777,0.9297
T утечка ρ=0.9,T,0.9,LogReg,1,20260804,0.9127,1.0,0.0,0.0753,0.9753,0.7768,0.8964,0.0,0.9869,1.207,0.0,0.8823,0.97
F подмена η=0.1,F,0.1,LogReg,1,20260804,0.4894,1.0,1.0,0.3732,0.8932,0.913,0.5882,0.6505,0.916,1.824,0.663,0.4837,0.9016
F подмена η=0.25,F,0.25,LogReg,1,20260804,0.4894,1.0,1.0,0.3126,0.9217,0.913,0.5882,0.6272,0.916,1.824,0.6313,0.4837,0.9016
F подмена η=0.5,F,0.5,LogReg,1,20260804,0.4894,1.0,1.0,0.2039,0.923,0.913,0.5882,0.5638,0.916,1.824,0.567,0.4837,0.9016
F подмена η=0.75,F,0.75,LogReg,1,20260804,0.4894,1.0,1.0,0.1044,0.906,0.913,0.5882,0.4747,0.916,1.824,0.4756,0.4837,0.9016
F подмена η=1.0,F,1.0,LogReg,1,20260804,0.4894,1.0,1.0,0.0083,0.92,0.913,0.5882,0.2531,0.916,1.824,0.2541,0.4837,0.9016
S доля=0.05,S,0.05,LogReg,1,20260804,0.3583,1.0,1.0,0.8844,0.3694,0.5218,0.7079,0.5894,0.7479,1.589,0.6061,0.3043,0.6973
S доля=0.1,S,0.1,LogReg,1,20260804,0.4069,1.0,1.0,1.0,0.2967,0.6844,0.5773,0.5852,0.8021,1.911,0.6033,0.3895,0.7685
S доля=0.15,S,0.15,LogReg,1,20260804,0.4289,1.0,1.0,0.9955,0.4336,0.724,0.6774,0.6783,0.8161,1.66,0.6694,0.4138,0.8022
S доля=0.25,S,0.25,LogReg,1,20260804,0.4243,1.0,1.0,0.976,0.3969,0.6585,0.6458,0.6371,0.8338,1.745,0.6405,0.407,0.8144
S доля=0.4,S,0.4,LogReg,1,20260804,0.4369,1.0,1.0,1.0,0.4004,0.7166,0.6561,0.6587,0.8347,1.73,0.6556,0.4359,0.8088
C инверсия η=0.05,C,0.05,LogReg,1,20260804,0.4134,1.0,1.0,0.7217,0.8605,0.7447,0.509,0.6965,0.9076,1.994,0.7003,0.3968,0.8941
C инверсия η=0.1,C,0.1,LogReg,1,20260804,0.3566,1.0,1.0,0.5052,0.7649,0.4889,0.4385,0.5365,0.9057,2.387,0.5413,0.343,0.8988
C инверсия η=0.2,C,0.2,LogReg,1,20260804,0.2145,1.0,1.0,0.4203,0.8183,0.064,0.5324,0.329,0.7292,2.123,0.3434,0.2138,0.7404
C инверсия η=0.3,C,0.3,LogReg,1,20260804,0.1762,1.0,1.0,0.2008,0.8862,0.0424,0.6816,0.2678,0.5313,1.736,0.2923,0.1763,0.5323
R шум σ×0.25,R,0.25,LogReg,1,20260804,0.4744,1.0,1.0,0.416,0.733,0.9078,0.6097,0.641,0.9038,1.781,0.6681,0.445,0.8782
R шум σ×0.5,R,0.5,LogReg,1,20260804,0.4813,1.0,1.0,0.4442,0.7581,0.8994,0.6315,0.6613,0.8777,1.738,0.6732,0.419,0.8266
R шум σ×1.0,R,1.0,LogReg,1,20260804,0.438,1.0,1.0,0.4604,0.7012,0.8946,0.7039,0.6715,0.7927,1.604,0.6902,0.3971,0.6785
R шум σ×1.5,R,1.5,LogReg,1,20260804,0.4427,1.0,1.0,0.4858,0.4806,0.8954,0.7249,0.6239,0.7283,1.564,0.6546,0.341,0.5567
R шум σ×2.0,R,2.0,LogReg,1,20260804,0.4178,1.0,1.0,0.5244,0.4205,0.9001,0.7454,0.6202,0.6779,1.527,0.6998,0.3282,0.5061
D невозможный АМГ,D,0.1,LogReg,1,20260804,0.4641,0.0,1.0,0.3682,0.9135,0.9368,0.6284,0.0,0.8329,1.743,0.0,0.4677,0.8219
D противоречие ИМТ,D,0.1,LogReg,1,20260804,0.479,0.0,1.0,0.4775,0.8729,0.896,0.6122,0.0,0.8973,1.777,0.0,0.4709,0.8754
D пропуск АМГ,D,0.2,LogReg,1,20260804,0.4723,0.0,1.0,0.4486,0.9079,0.8772,0.57,0.0,0.9132,1.86,0.0,0.4773,0.895
D ошибка единиц,D,0.1,LogReg,1,20260804,0.4571,0.0,1.0,0.374,0.9245,0.9377,0.6303,0.0,0.8329,1.739,0.0,0.4691,0.8201
M0 эталон,—,0.0,RandomForest,0,20260802,0.5355,1.0,1.0,0.4303,0.8179,0.8849,0.573,0.6499,0.929,1.883,0.6682,0.497,0.91
T утечка ρ=0.1,T,0.1,RandomForest,1,20260802,0.5461,1.0,0.0,0.3587,0.8298,0.8826,0.5801,0.0,0.9262,1.863,0.0,0.5034,0.9213
T утечка ρ=0.3,T,0.3,RandomForest,1,20260802,0.55,1.0,0.0,0.3495,0.8489,0.863,0.5828,0.0,0.9346,1.86,0.0,0.5315,0.9381
T утечка ρ=0.5,T,0.5,RandomForest,1,20260802,0.5952,1.0,0.0,0.3228,0.8671,0.8427,0.6082,0.0,0.9477,1.797,0.0,0.5579,0.9456
T утечка ρ=0.7,T,0.7,RandomForest,1,20260802,0.6687,1.0,0.0,0.3095,0.9035,0.828,0.6751,0.0,0.944,1.655,0.0,0.7077,0.9391
T утечка ρ=0.9,T,0.9,RandomForest,1,20260802,0.9107,1.0,0.0,0.2012,0.9627,0.7745,0.8486,0.0,0.9748,1.303,0.0,0.9097,0.9784
F подмена η=0.1,F,0.1,RandomForest,1,20260802,0.5355,1.0,1.0,0.3817,0.8234,0.8849,0.573,0.6318,0.929,1.883,0.6489,0.497,0.91
F подмена η=0.25,F,0.25,RandomForest,1,20260802,0.5355,1.0,1.0,0.3188,0.8307,0.8849,0.573,0.6053,0.929,1.883,0.6221,0.497,0.91
F подмена η=0.5,F,0.5,RandomForest,1,20260802,0.5355,1.0,1.0,0.2157,0.833,0.8849,0.573,0.5494,0.929,1.883,0.5617,0.497,0.91
F подмена η=0.75,F,0.75,RandomForest,1,20260802,0.5355,1.0,1.0,0.1079,0.8262,0.8849,0.573,0.461,0.929,1.883,0.4706,0.497,0.91
F подмена η=1.0,F,1.0,RandomForest,1,20260802,0.5355,1.0,1.0,0.0087,0.8272,0.8849,0.573,0.246,0.929,1.883,0.2504,0.497,0.91
S доля=0.05,S,0.05,RandomForest,1,20260802,0.3892,1.0,1.0,0.4651,0.4587,0.7614,0.6973,0.5801,0.7908,1.615,0.5697,0.4052,0.7891
S доля=0.1,S,0.1,RandomForest,1,20260802,0.3913,1.0,1.0,0.5612,0.3449,0.6794,0.6369,0.538,0.8301,1.759,0.5563,0.4005,0.8369
S доля=0.15,S,0.15,RandomForest,1,20260802,0.4361,1.0,1.0,0.7813,0.3824,0.7254,0.6184,0.605,0.8235,1.824,0.608,0.4354,0.7966
S доля=0.25,S,0.25,RandomForest,1,20260802,0.4067,1.0,1.0,0.7994,0.4063,0.7108,0.6531,0.6232,0.803,1.75,0.6309,0.4082,0.8154
S доля=0.4,S,0.4,RandomForest,1,20260802,0.4278,1.0,1.0,0.7041,0.4757,0.7565,0.7014,0.6493,0.8049,1.617,0.6368,0.4081,0.8182
C инверсия η=0.05,C,0.05,RandomForest,1,20260802,0.4227,1.0,1.0,0.4326,0.8249,0.6848,0.5801,0.6136,0.8768,1.872,0.6279,0.4243,0.8894
C инверсия η=0.1,C,0.1,RandomForest,1,20260802,0.3497,1.0,1.0,0.4124,0.8169,0.4198,0.6243,0.5451,0.7516,1.779,0.569,0.3648,0.7798
C инверсия η=0.2,C,0.2,RandomForest,1,20260802,0.2657,1.0,1.0,0.3331,0.8137,0.2099,0.6849,0.4443,0.6032,1.66,0.4624,0.2911,0.5989
C инверсия η=0.3,C,0.3,RandomForest,1,20260802,0.2318,1.0,1.0,0.2686,0.8573,0.0974,0.767,0.3622,0.4594,1.486,0.3591,0.2225,0.4433
R шум σ×0.25,R,0.25,RandomForest,1,20260802,0.4867,1.0,1.0,0.3582,0.8074,0.8677,0.5174,0.6003,0.9468,2.015,0.5783,0.4487,0.956
R шум σ×0.5,R,0.5,RandomForest,1,20260802,0.4963,1.0,1.0,0.355,0.8044,0.8769,0.5,0.5949,0.9496,2.082,0.5617,0.4376,0.9541
R шум σ×1.0,R,1.0,RandomForest,1,20260802,0.4337,1.0,1.0,0.3324,0.806,0.8751,0.4745,0.5775,0.9552,2.189,0.5544,0.401,0.9485
R шум σ×1.5,R,1.5,RandomForest,1,20260802,0.4055,1.0,1.0,0.3292,0.8102,0.8734,0.4704,0.5754,0.9412,2.218,0.5509,0.4164,0.9578
R шум σ×2.0,R,2.0,RandomForest,1,20260802,0.394,1.0,1.0,0.316,0.7805,0.8718,0.4588,0.5604,0.9524,2.287,0.5323,0.3758,0.9513
D невозможный АМГ,D,0.1,RandomForest,1,20260802,0.5276,0.0,1.0,0.4245,0.8001,0.8989,0.5608,0.0,0.9225,1.93,0.0,0.468,0.9035
D противоречие ИМТ,D,0.1,RandomForest,1,20260802,0.5349,0.0,1.0,0.4269,0.8274,0.8852,0.5708,0.0,0.929,1.889,0.0,0.4945,0.9119
